"from","too","t","linecap"
12,11,1,1900
11,12,1,2000
12,11,2,1900
11,12,2,2000
12,11,3,2100
11,12,3,1750
12,11,4,2100
11,12,4,1550
12,11,5,2100
11,12,5,1400
12,11,6,2100
11,12,6,1450
12,11,7,2100
11,12,7,1500
12,11,8,2100
11,12,8,1700
12,11,9,1900
11,12,9,1900
12,11,10,1900
11,12,10,2000
12,11,11,1900
11,12,11,2000
12,11,12,1900
11,12,12,2000
12,11,13,1900
11,12,13,2000
12,11,14,1900
11,12,14,2000
12,11,15,1900
11,12,15,2000
12,11,16,1900
11,12,16,2000
12,11,17,1900
11,12,17,2000
12,11,18,1900
11,12,18,2000
12,11,19,1900
11,12,19,2000
12,11,20,1900
11,12,20,2000
12,11,21,1900
11,12,21,2000
12,11,22,1900
11,12,22,2000
12,11,23,1900
11,12,23,2000
12,11,24,1900
11,12,24,2000
