"I","PI0","PI1","QI","LI","TI"
1,180.3,180.3,12893.7,11,1
2,180,180,537.9,11,1
3,150,150,9.5,11,1
4,140,140,11.2,11,1
5,130,130,6.3,11,1
6,120,120,57.6,11,1
7,110,110,3.9,11,1
8,105,105,0.3,11,1
9,100,100,315.8,11,1
10,99,99,964.8,11,1
11,96.3,96.3,81.6,11,1
12,94.61,94.61,10.9,11,1
13,91,91,0.1,11,1
14,90,90,113.8,11,1
15,89.99,89.99,200,11,1
16,85,85,3.2,11,1
17,84.98,84.98,300,11,1
18,80,80,338.3,11,1
19,75,75,135.5,11,1
20,70,70,11,11,1
21,68.21,68.21,0.1,11,1
22,62.5,62.5,63.2,11,1
23,60.69,60.69,79.7,11,1
24,60,60,89.3,11,1
25,57.5,57.5,47.4,11,1
26,56.24,56.24,15.9,11,1
27,55.69,55.69,48.5,11,1
28,55,55,5.6,11,1
29,52.5,52.5,47.4,11,1
30,52,52,5.2,11,1
31,50.5,50.5,6.1,11,1
32,50,50,0.4,11,1
33,47.5,47.5,47.4,11,1
34,45,45,199.3,11,1
35,44.9,44.9,21,11,1
36,42.6,42.6,3.9,11,1
37,42.5,42.5,47.4,11,1
38,42.48,42.48,0.5,11,1
39,41.4,41.4,20,11,1
40,40.5,40.5,6.1,11,1
41,40,40,0.3,11,1
42,38.4,38.4,20,11,1
43,37.5,37.5,63.2,11,1
44,36.4,36.4,10,11,1
45,35.5,35.5,4.2,11,1
46,35.1,35.1,10,11,1
47,35,35,0.3,11,1
48,33.81,33.81,49.9,11,1
49,33.16,33.16,200,11,1
50,33,33,50,11,1
51,30.81,30.81,24.9,11,1
52,30.01,30.01,1,11,1
53,30,30,158.1,11,1
54,29.7,29.7,75,11,1
55,26.81,26.81,24.9,11,1
56,26.7,26.7,65,11,1
57,26,26,50,11,1
58,25.13,25.13,52,11,1
59,25,25,6.8,11,1
60,22.69,22.69,1.3,11,1
61,20.13,20.13,52,11,1
62,20,20,37.7,11,1
63,19,19,0.6,11,1
64,18.9,18.9,190,11,1
65,18.4,18.4,138,11,1
66,17.2,17.2,138,11,1
67,16.9,16.9,190,11,1
68,15.13,15.13,52,11,1
69,15.1,15.1,138,11,1
70,15,15,2.8,11,1
71,14.9,14.9,78,11,1
72,13.9,13.9,72,11,1
73,12.9,12.9,190,11,1
74,12.81,12.81,56.9,11,1
75,12.3,12.3,138,11,1
76,10,10,180.2,11,1
77,9.99,9.99,73,11,1
78,8.8,8.8,138,11,1
79,5,5,284.1,11,1
