"MP","LC","FC","VC","RU","RD"
180,11,0,65.3,NA,NA
181,11,0,57.5,NA,NA
182,11,0,99.5,NA,NA
183,11,56800,49,NA,NA
184,11,0,97,NA,NA
185,11,0,180.3,NA,NA
186,11,0,105,NA,NA
187,11,44000,45.5,120,120
188,11,40000,43,120,120
189,11,50000,45.5,120,120
190,11,70000,83.02,NA,NA
191,11,17000,74,150,150
192,11,55000,130,150,150
193,11,17000,77,150,150
194,11,33000,89,150,150
195,11,0,94,NA,NA
196,11,1211444,106.92,NA,NA
197,11,0,48,NA,NA
198,11,45567,49.25,NA,NA
199,11,81753,46,NA,NA
200,11,0,38,NA,NA
201,11,82769,42,NA,NA
202,11,82769,41,NA,NA
203,11,45650,62.36,NA,NA
204,11,45650,62.36,NA,NA
205,11,45650,62.36,NA,NA
206,11,56394,99,NA,NA
207,11,56931,99,NA,NA
208,11,70800,74.08,NA,NA
209,11,70800,74.08,NA,NA
210,11,0,81.86,NA,NA
211,11,0,82.38,NA,NA
212,11,45171,84.27,NA,NA
213,11,60161,81.62,NA,NA
214,11,40942,83.78,NA,NA
215,11,28040,100.16,NA,NA
216,11,0,66.11,NA,NA
217,11,50770,171.18,NA,NA
218,11,53878,168.42,NA,NA
219,11,61156,167.24,NA,NA
220,11,19052,62.04,NA,NA
221,11,38134,77.15,NA,NA
222,11,86000,54.03,NA,NA
223,11,6000,106.01,NA,NA
224,11,6000,107.34,NA,NA
225,11,6000,129.44,NA,NA
226,11,6000,137.31,NA,NA
227,11,6000,116.87,NA,NA
228,11,6000,104.72,NA,NA
229,11,6000,136.81,NA,NA
230,11,6000,132.81,NA,NA
231,11,6000,123.19,NA,NA
232,11,0,62.69,NA,NA
233,11,102310,67.6,NA,NA
234,11,0,77.46,NA,NA
235,11,0,95,NA,NA
236,11,0,60.53,NA,NA
237,11,0,61.18,NA,NA
238,11,0,80.97,NA,NA
239,11,98135,52.21,NA,NA
240,11,64272,96.61,NA,NA
241,11,65888,64.25,NA,NA
242,11,106397,93.43,NA,NA
243,11,0,75.53,NA,NA
244,11,0,76.07,NA,NA
245,11,0,95,NA,NA
246,11,0,105,NA,NA
247,11,0,77.75,NA,NA
248,11,105260,55.64,NA,NA
249,11,147236,85.14,NA,NA
250,11,0,93.09,NA,NA
251,11,0,75.96,NA,NA
252,11,0,71.53,NA,NA
253,11,0,60.84,NA,NA
254,11,0,82.25,NA,NA
255,12,80000,23,114,360
256,12,80000,18,114,360
257,12,140000,180,54,288
258,12,50000,45,54,288
259,12,50000,32,150,288
260,12,20000,29,NA,NA
261,12,20000,29.4,NA,NA
262,12,150000,78,NA,NA
263,12,150000,78.5,NA,NA
264,12,20000,75.1,NA,NA
265,12,20000,73.65,NA,NA
266,12,50000,75.5,NA,NA
267,12,56866,99,NA,NA
268,12,56866,99,NA,NA
