"H","PH","QH","TH","MP","AR","LH","VH"
1,72.12,-402.2,1,180,0.8,11,65.3
2,72.12,-402.2,2,180,0.8,11,65.3
3,72.12,-402.2,3,180,0.8,11,65.3
4,72.12,-402.2,4,180,0.8,11,65.3
5,72.12,-402.2,5,180,0.8,11,65.3
6,72.12,-402.2,6,180,0.8,11,65.3
7,72.12,-402.2,7,180,0.8,11,65.3
8,72.12,-402.2,8,180,0.8,11,65.3
9,72.12,-402.2,9,180,0.8,11,65.3
10,72.12,-402.2,10,180,0.8,11,65.3
11,72.12,-402.2,11,180,0.8,11,65.3
12,72.12,-402.2,12,180,0.8,11,65.3
13,26.12,-80,13,180,0.8,11,65.3
14,72.12,-322.2,13,180,0,11,65.3
15,26.12,-120,14,180,0.8,11,65.3
16,72.12,-282.2,14,180,0,11,65.3
17,26.12,-120,15,180,0.8,11,65.3
18,72.12,-282.2,15,180,0,11,65.3
19,26.12,-120,16,180,0.8,11,65.3
20,72.12,-282.2,16,180,0,11,65.3
21,26.12,-120,17,180,0.8,11,65.3
22,72.12,-282.2,17,180,0,11,65.3
23,26.12,-135,18,180,0.8,11,65.3
24,72.12,-267.2,18,180,0,11,65.3
25,26.12,-275,19,180,0.8,11,65.3
26,72.12,-127.2,19,180,0,11,65.3
27,26.12,-391.5,20,180,0.8,11,65.3
28,72.12,-10.7,20,180,0,11,65.3
29,26.12,-392.9,21,180,0.8,11,65.3
30,72.12,-9.3,21,180,0,11,65.3
31,26.12,-394.2,22,180,0.8,11,65.3
32,72.12,-8,22,180,0,11,65.3
33,26.12,-394.8,23,180,0.8,11,65.3
34,72.12,-7.4,23,180,0,11,65.3
35,26.12,-395.3,24,180,0.8,11,65.3
36,72.12,-6.9,24,180,0,11,65.3
37,72.12,-397,1,181,0.8,11,57.5
38,72.12,-397,2,181,0.8,11,57.5
39,72.12,-397,3,181,0.8,11,57.5
40,72.12,-397,4,181,0.8,11,57.5
41,72.12,-397,5,181,0.8,11,57.5
42,72.12,-397,6,181,0.8,11,57.5
43,72.12,-397,7,181,0.8,11,57.5
44,72.12,-397,8,181,0.8,11,57.5
45,72.12,-397,9,181,0.8,11,57.5
46,72.12,-397,10,181,0.8,11,57.5
47,72.12,-397,11,181,0.8,11,57.5
48,72.12,-397,12,181,0.8,11,57.5
49,72.12,-397,13,181,0.8,11,57.5
50,23,-90,14,181,0.8,11,57.5
51,72.12,-307,14,181,0,11,57.5
52,23,-125,15,181,0.8,11,57.5
53,72.12,-272,15,181,0,11,57.5
54,23,-185,16,181,0.8,11,57.5
55,72.12,-212,16,181,0,11,57.5
56,23,-340,17,181,0.8,11,57.5
57,72.12,-57,17,181,0,11,57.5
58,23,-387.3,18,181,0.8,11,57.5
59,72.12,-9.7,18,181,0,11,57.5
60,23,-389,19,181,0.8,11,57.5
61,72.12,-8,19,181,0,11,57.5
62,23,-390.5,20,181,0.8,11,57.5
63,72.12,-6.5,20,181,0,11,57.5
64,23,-391.8,21,181,0.8,11,57.5
65,72.12,-5.2,21,181,0,11,57.5
66,23,-393.1,22,181,0.8,11,57.5
67,72.12,-3.9,22,181,0,11,57.5
68,23,-393.7,23,181,0.8,11,57.5
69,72.12,-3.3,23,181,0,11,57.5
70,23,-394.3,24,181,0.8,11,57.5
71,72.12,-2.7,24,181,0,11,57.5
72,52,-763.7,1,182,0.8,11,99.5
73,52,-763.6,2,182,0.8,11,99.5
74,52,-763.8,3,182,0.8,11,99.5
75,52,-763.9,4,182,0.8,11,99.5
76,52,-763.1,5,182,0.8,11,99.5
77,52,-762.9,6,182,0.8,11,99.5
78,52,-762.5,7,182,0.8,11,99.5
79,39.8,-50,8,182,0.8,11,99.5
80,39.8,-550,8,182,0,11,99.5
81,39.8,-161.8,8,182,0,11,99.5
82,39.8,-300,9,182,0.8,11,99.5
83,39.8,-300,9,182,0,11,99.5
84,39.8,-162,9,182,0,11,99.5
85,39.8,-600,10,182,0.8,11,99.5
86,39.8,-162.4,10,182,0,11,99.5
87,39.8,-600,11,182,0.8,11,99.5
88,39.8,-162.4,11,182,0,11,99.5
89,39.8,-600,12,182,0.8,11,99.5
90,39.8,-161.2,12,182,0,11,99.5
91,39.8,-600,13,182,0.8,11,99.5
92,39.8,-159,13,182,0,11,99.5
93,39.8,-600,14,182,0.8,11,99.5
94,39.8,-155.2,14,182,0,11,99.5
95,39.8,-600,15,182,0.8,11,99.5
96,39.8,-155,15,182,0,11,99.5
97,39.8,-600,16,182,0.8,11,99.5
98,39.8,-156.4,16,182,0,11,99.5
99,39.8,-600,17,182,0.8,11,99.5
100,39.8,-157.6,17,182,0,11,99.5
101,39.8,-600,18,182,0.8,11,99.5
102,39.8,-159.1,18,182,0,11,99.5
103,39.8,-600,19,182,0.8,11,99.5
104,39.8,-159.7,19,182,0,11,99.5
105,39.8,-600,20,182,0.8,11,99.5
106,39.8,-161.6,20,182,0,11,99.5
107,39.8,-600,21,182,0.8,11,99.5
108,39.8,-163.3,21,182,0,11,99.5
109,39.8,-600,22,182,0.8,11,99.5
110,39.8,-163.7,22,182,0,11,99.5
111,39.8,-150,23,182,0.8,11,99.5
112,39.8,-450,23,182,0,11,99.5
113,39.8,-164.9,23,182,0,11,99.5
114,39.8,-150,24,182,0.8,11,99.5
115,39.8,-450,24,182,0,11,99.5
116,39.8,-165.6,24,182,0,11,99.5
117,72.12,-785.2,1,183,0.8,11,49
118,72.12,-785.2,2,183,0.8,11,49
119,72.12,-785.2,3,183,0.8,11,49
120,72.12,-785.2,4,183,0.8,11,49
121,72.12,-785.2,5,183,0.8,11,49
122,19.6,-30,6,183,0.8,11,49
123,72.12,-755.2,6,183,0,11,49
124,19.6,-135,7,183,0.8,11,49
125,72.12,-650.2,7,183,0,11,49
126,19.6,-230,8,183,0.8,11,49
127,72.12,-555.2,8,183,0,11,49
128,19.6,-340,9,183,0.8,11,49
129,72.12,-445.2,9,183,0,11,49
130,19.6,-445,10,183,0.8,11,49
131,19.6,-15,10,183,0,11,49
132,19.8,-20,10,183,0,11,49
133,19.92,-40,10,183,0,11,49
134,20,-40,10,183,0,11,49
135,20.2,-40,10,183,0,11,49
136,20.4,-50,10,183,0,11,49
137,20.8,-50,10,183,0,11,49
138,72.12,-85.2,10,183,0,11,49
139,19.6,-445,11,183,0.8,11,49
140,19.6,-15,11,183,0,11,49
141,19.6,-20,11,183,0,11,49
142,19.8,-40,11,183,0,11,49
143,20,-40,11,183,0,11,49
144,20.2,-40,11,183,0,11,49
145,20.4,-50,11,183,0,11,49
146,20.8,-50,11,183,0,11,49
147,72.12,-85.2,11,183,0,11,49
148,19.6,-445,12,183,0.8,11,49
149,19.6,-15,12,183,0,11,49
150,19.6,-20,12,183,0,11,49
151,19.8,-40,12,183,0,11,49
152,20,-40,12,183,0,11,49
153,20.2,-40,12,183,0,11,49
154,20.4,-50,12,183,0,11,49
155,20.8,-50,12,183,0,11,49
156,72.12,-85.2,12,183,0,11,49
157,19.6,-445,13,183,0.8,11,49
158,19.6,-15,13,183,0,11,49
159,19.6,-20,13,183,0,11,49
160,19.8,-40,13,183,0,11,49
161,20,-40,13,183,0,11,49
162,20.2,-40,13,183,0,11,49
163,20.4,-50,13,183,0,11,49
164,20.8,-50,13,183,0,11,49
165,72.12,-85.2,13,183,0,11,49
166,19.6,-445,14,183,0.8,11,49
167,19.6,-15,14,183,0,11,49
168,19.6,-20,14,183,0,11,49
169,19.8,-40,14,183,0,11,49
170,20,-40,14,183,0,11,49
171,20.2,-40,14,183,0,11,49
172,20.4,-50,14,183,0,11,49
173,20.8,-50,14,183,0,11,49
174,72.12,-85.2,14,183,0,11,49
175,19.6,-445,15,183,0.8,11,49
176,19.6,-15,15,183,0,11,49
177,19.6,-20,15,183,0,11,49
178,19.8,-40,15,183,0,11,49
179,20,-40,15,183,0,11,49
180,20.2,-40,15,183,0,11,49
181,20.4,-50,15,183,0,11,49
182,20.8,-50,15,183,0,11,49
183,72.12,-85.2,15,183,0,11,49
184,19.6,-445,16,183,0.8,11,49
185,19.6,-15,16,183,0,11,49
186,19.6,-20,16,183,0,11,49
187,19.8,-40,16,183,0,11,49
188,20,-40,16,183,0,11,49
189,20.2,-40,16,183,0,11,49
190,20.4,-50,16,183,0,11,49
191,20.8,-50,16,183,0,11,49
192,72.12,-85.2,16,183,0,11,49
193,19.6,-445,17,183,0.8,11,49
194,19.6,-15,17,183,0,11,49
195,19.6,-20,17,183,0,11,49
196,19.8,-40,17,183,0,11,49
197,20,-40,17,183,0,11,49
198,20.2,-40,17,183,0,11,49
199,20.4,-50,17,183,0,11,49
200,20.8,-50,17,183,0,11,49
201,72.12,-85.2,17,183,0,11,49
202,19.6,-445,18,183,0.8,11,49
203,19.6,-15,18,183,0,11,49
204,19.6,-20,18,183,0,11,49
205,19.8,-40,18,183,0,11,49
206,20,-40,18,183,0,11,49
207,20.2,-40,18,183,0,11,49
208,20.4,-50,18,183,0,11,49
209,20.8,-50,18,183,0,11,49
210,72.12,-85.2,18,183,0,11,49
211,19.6,-445,19,183,0.8,11,49
212,19.6,-15,19,183,0,11,49
213,19.6,-20,19,183,0,11,49
214,19.8,-40,19,183,0,11,49
215,20,-40,19,183,0,11,49
216,20.2,-40,19,183,0,11,49
217,20.4,-50,19,183,0,11,49
218,20.8,-50,19,183,0,11,49
219,72.12,-85.2,19,183,0,11,49
220,19.6,-445,20,183,0.8,11,49
221,19.6,-15,20,183,0,11,49
222,19.6,-20,20,183,0,11,49
223,19.8,-40,20,183,0,11,49
224,20,-40,20,183,0,11,49
225,20.2,-40,20,183,0,11,49
226,20.4,-50,20,183,0,11,49
227,20.8,-50,20,183,0,11,49
228,72.12,-85.2,20,183,0,11,49
229,19.6,-445,21,183,0.8,11,49
230,19.6,-15,21,183,0,11,49
231,19.6,-20,21,183,0,11,49
